Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,All_Features,k-NN,0.67,0.36,0.97,0.47,0.86,0.9,0.65,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':5,'weights':'distance'}",,,,0.02,0.65,0.32,0.97,0.42,0.8,0.89,0.64
Single_Model,All_Features,k-NN,0.68,0.4,0.96,0.48,0.81,0.9,0.59,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':3,'weights':'uniform'}",,,,0.03,0.64,0.32,0.96,0.41,0.76,0.88,0.58
Single_Model,All_Features,k-NN,0.67,0.36,0.98,0.48,0.85,0.91,0.71,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':5,'weights':'uniform'}",,,,0.03,0.64,0.3,0.98,0.42,0.8,0.89,0.7
Single_Model,All_Features,k-NN,0.67,0.38,0.96,0.46,0.81,0.89,0.56,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':3,'weights':'distance'}",,,,0.03,0.64,0.33,0.96,0.4,0.76,0.88,0.53
Single_Model,All_Features,k-NN,0.66,0.36,0.97,0.45,0.82,0.89,0.59,KNeighborsClassifier,"{'metric':'euclidean','n_neighbors':3,'weights':'distance'}",,,,0.01,0.64,0.31,0.96,0.4,0.75,0.88,0.57
Single_Model,All_Features,k-NN,0.65,0.32,0.98,0.43,0.84,0.9,0.68,KNeighborsClassifier,"{'metric':'euclidean','n_neighbors':5,'weights':'distance'}",,,,0.01,0.64,0.3,0.98,0.41,0.79,0.89,0.67
Single_Model,All_Features,k-NN,0.66,0.36,0.97,0.45,0.82,0.89,0.59,KNeighborsClassifier,"{'metric':'euclidean','n_neighbors':3,'weights':'uniform'}",,,,0.05,0.63,0.3,0.97,0.4,0.75,0.88,0.58
Single_Model,All_Features,k-NN,0.63,0.28,0.99,0.4,0.86,0.9,0.72,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':9,'weights':'distance'}",,,,0.02,0.63,0.29,0.98,0.4,0.82,0.89,0.7
Single_Model,All_Features,k-NN,0.65,0.32,0.98,0.43,0.84,0.9,0.68,KNeighborsClassifier,"{'metric':'euclidean','n_neighbors':5,'weights':'uniform'}",,,,0.02,0.63,0.28,0.98,0.4,0.78,0.89,0.7
Single_Model,All_Features,k-NN,0.63,0.28,0.99,0.41,0.84,0.9,0.76,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':9,'weights':'uniform'}",,,,0.04,0.62,0.26,0.99,0.38,0.82,0.89,0.75
Single_Model,All_Features,k-NN,0.64,0.28,1.0,0.43,0.88,0.91,0.93,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':15,'weights':'distance'}",,,,0.03,0.61,0.24,0.99,0.35,0.84,0.89,0.72
Single_Model,All_Features,k-NN,0.61,0.23,0.99,0.36,0.87,0.9,0.79,KNeighborsClassifier,"{'metric':'euclidean','n_neighbors':9,'weights':'distance'}",,,,0.01,0.61,0.23,0.99,0.35,0.82,0.89,0.73
Single_Model,All_Features,k-NN,0.62,0.23,1.0,0.37,0.88,0.91,0.92,KNeighborsClassifier,"{'metric':'manhattan','n_neighbors':15,'weights':'uniform'}",,,,0.03,0.61,0.22,0.99,0.35,0.84,0.89,0.8
Single_Model,All_Features,k-NN,0.61,0.23,0.99,0.36,0.85,0.9,0.79,KNeighborsClassifier,"{'metric':'euclidean','n_neighbors':9,'weights':'uniform'}",,,,0.02,0.6,0.22,0.99,0.33,0.82,0.89,0.78
Single_Model,All_Features,k-NN,0.62,0.23,1.0,0.37,0.87,0.91,0.92,KNeighborsClassifier,"{'metric':'euclidean','n_neighbors':15,'weights':'distance'}",,,,0.01,0.59,0.19,0.99,0.29,0.83,0.88,0.72
Single_Model,All_Features,k-NN,0.62,0.23,1.0,0.37,0.87,0.91,0.92,KNeighborsClassifier,"{'metric':'euclidean','n_neighbors':15,'weights':'uniform'}",,,,0.02,0.58,0.18,0.99,0.28,0.83,0.89,0.8
Single_Model,All_Features,k-NN,0.57,0.15,0.99,0.24,0.66,0.89,0.64,KNeighborsClassifier,"{'metric':'chebyshev','n_neighbors':3,'weights':'distance'}",,,,0.02,0.55,0.13,0.98,0.2,0.65,0.87,0.51
Single_Model,All_Features,k-NN,0.57,0.15,0.99,0.24,0.66,0.89,0.64,KNeighborsClassifier,"{'metric':'chebyshev','n_neighbors':3,'weights':'uniform'}",,,,0.03,0.55,0.12,0.98,0.19,0.65,0.87,0.52
Single_Model,All_Features,k-NN,0.54,0.09,1.0,0.15,0.7,0.89,0.8,KNeighborsClassifier,"{'metric':'chebyshev','n_neighbors':5,'weights':'distance'}",,,,0.02,0.54,0.09,0.99,0.16,0.7,0.87,0.54
Single_Model,All_Features,k-NN,0.53,0.06,1.0,0.12,0.68,0.89,0.75,KNeighborsClassifier,"{'metric':'chebyshev','n_neighbors':5,'weights':'uniform'}",,,,0.03,0.53,0.08,0.99,0.14,0.69,0.87,0.61
Single_Model,All_Features,k-NN,0.51,0.02,1.0,0.04,0.76,0.88,1.0,KNeighborsClassifier,"{'metric':'chebyshev','n_neighbors':9,'weights':'distance'}",,,,0.03,0.51,0.02,0.99,0.04,0.71,0.87,0.45
Single_Model,All_Features,k-NN,0.5,0.0,1.0,0.0,0.74,0.88,0.0,KNeighborsClassifier,"{'metric':'chebyshev','n_neighbors':9,'weights':'uniform'}",,,,0.03,0.51,0.01,1.0,0.02,0.68,0.87,0.44
Single_Model,All_Features,k-NN,0.5,0.0,1.0,0.0,0.75,0.88,0.0,KNeighborsClassifier,"{'metric':'chebyshev','n_neighbors':15,'weights':'uniform'}",,,,0.03,0.5,0.0,1.0,0.0,0.69,0.87,0.0
Single_Model,All_Features,k-NN,0.5,0.0,1.0,0.0,0.78,0.88,0.0,KNeighborsClassifier,"{'metric':'chebyshev','n_neighbors':15,'weights':'distance'}",,,,0.02,0.5,0.0,1.0,0.01,0.71,0.87,0.17
