Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.76,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.76,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.76,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.76,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.76,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.76,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.8,0.48,0.87,0.8,0.35,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.8,0.48,0.87,0.8,0.35,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.8,0.48,0.87,0.8,0.35,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.8,0.48,0.87,0.8,0.35,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.8,0.48,0.87,0.8,0.35,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.8,0.48,0.87,0.8,0.35,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':11,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.8,0.48,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.8,0.48,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':15,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':21,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':7,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.83,0.51,0.85,0.82,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':7,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.83,0.51,0.85,0.82,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':7,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.83,0.51,0.85,0.82,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':7,'random_state':42,'replacement':False,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.83,0.51,0.85,0.82,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':7,'random_state':42,'replacement':False,'sampling_strategy':'auto','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.83,0.51,0.85,0.82,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':7,'random_state':42,'replacement':False,'sampling_strategy':'majority','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.01,0.79,0.75,0.83,0.51,0.85,0.82,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':False}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.79,0.75,0.82,0.51,0.85,0.81,0.39
Ensemble_Imbalance,without_Diagnosis_Delay,Balanced Bagging,0.79,0.79,0.79,0.47,0.87,0.79,0.34,BalancedBaggingClassifier,"{'estimator':GaussianNB(),'n_estimators':51,'random_state':42,'replacement':True,'sampling_strategy':'all','warm_start':True}",Naïve Bayes,GaussianNB,"{'priors':None,'var_smoothing':1e-09}",0.02,0.79,0.75,0.82,0.51,0.85,0.81,0.39
