Scenario,Features,Model,balanced_accuracy,sensitivity,specificity,f1_score,AUC,accuracy,precision,Model_Class,Hyperparams,Estimator,Estimator_Class,Estimator_Hyperparams,fit_time,train_balanced_accuracy,train_sensitivity,train_specificity,train_f1_score,train_AUC,train_accuracy,train_precision
Single_Model,without_Diagnosis_Delay,Random Forest,0.78,0.74,0.81,0.47,0.88,0.8,0.34,RandomForestClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':5,'n_estimators':51,'random_state':42}",,,,0.01,0.76,0.67,0.84,0.49,0.85,0.82,0.39
Single_Model,without_Diagnosis_Delay,Random Forest,0.79,0.79,0.8,0.48,0.88,0.8,0.35,RandomForestClassifier,"{'class_weight':'balanced','criterion':'entropy','max_depth':5,'n_estimators':21,'random_state':42}",,,,0.01,0.76,0.67,0.84,0.49,0.85,0.82,0.39
Single_Model,without_Diagnosis_Delay,Random Forest,0.8,0.81,0.8,0.49,0.88,0.8,0.35,RandomForestClassifier,"{'class_weight':'balanced_subsample','criterion':'entropy','max_depth':5,'n_estimators':51,'random_state':42}",,,,0.01,0.75,0.67,0.84,0.49,0.85,0.82,0.39
Single_Model,without_Diagnosis_Delay,Random Forest,0.79,0.79,0.8,0.48,0.88,0.8,0.35,RandomForestClassifier,"{'class_weight':'balanced_subsample','criterion':'entropy','max_depth':5,'n_estimators':15,'random_state':42}",,,,0.01,0.75,0.67,0.84,0.49,0.84,0.82,0.38
Single_Model,without_Diagnosis_Delay,Random Forest,0.77,0.74,0.8,0.47,0.88,0.8,0.34,RandomForestClassifier,"{'class_weight':'balanced_subsample','criterion':'gini','max_depth':5,'n_estimators':51,'random_state':42}",,,,0.01,0.75,0.67,0.84,0.48,0.85,0.81,0.38
Single_Model,without_Diagnosis_Delay,Random Forest,0.79,0.79,0.8,0.48,0.88,0.79,0.34,RandomForestClassifier,"{'class_weight':'balanced','criterion':'entropy','max_depth':5,'n_estimators':51,'random_state':42}",,,,0.01,0.75,0.67,0.84,0.49,0.85,0.82,0.39
Single_Model,without_Diagnosis_Delay,Random Forest,0.8,0.79,0.81,0.49,0.87,0.8,0.36,RandomForestClassifier,"{'class_weight':'balanced','criterion':'entropy','max_depth':5,'n_estimators':15,'random_state':42}",,,,0.01,0.75,0.67,0.83,0.48,0.84,0.81,0.38
Single_Model,without_Diagnosis_Delay,Random Forest,0.81,0.83,0.79,0.49,0.88,0.8,0.35,RandomForestClassifier,"{'class_weight':'balanced_subsample','criterion':'entropy','max_depth':5,'n_estimators':11,'random_state':42}",,,,0.01,0.75,0.67,0.83,0.48,0.84,0.81,0.38
Single_Model,without_Diagnosis_Delay,Random Forest,0.78,0.77,0.8,0.48,0.88,0.8,0.35,RandomForestClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':5,'n_estimators':21,'random_state':42}",,,,0.01,0.75,0.67,0.84,0.48,0.84,0.81,0.38
Single_Model,without_Diagnosis_Delay,Random Forest,0.77,0.74,0.8,0.46,0.88,0.79,0.33,RandomForestClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':5,'n_estimators':11,'random_state':42}",,,,0.01,0.75,0.67,0.83,0.48,0.84,0.81,0.37
Single_Model,without_Diagnosis_Delay,Random Forest,0.78,0.77,0.8,0.47,0.87,0.8,0.34,RandomForestClassifier,"{'class_weight':'balanced','criterion':'entropy','max_depth':5,'n_estimators':11,'random_state':42}",,,,0.01,0.75,0.67,0.83,0.48,0.84,0.81,0.37
Single_Model,without_Diagnosis_Delay,Random Forest,0.78,0.77,0.8,0.48,0.88,0.8,0.35,RandomForestClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':5,'n_estimators':15,'random_state':42}",,,,0.01,0.75,0.67,0.83,0.48,0.84,0.81,0.38
Single_Model,without_Diagnosis_Delay,Random Forest,0.78,0.77,0.8,0.47,0.88,0.79,0.34,RandomForestClassifier,"{'class_weight':'balanced_subsample','criterion':'entropy','max_depth':5,'n_estimators':21,'random_state':42}",,,,0.01,0.75,0.66,0.84,0.48,0.85,0.82,0.38
Single_Model,without_Diagnosis_Delay,Random Forest,0.78,0.74,0.81,0.47,0.88,0.8,0.34,RandomForestClassifier,"{'class_weight':'balanced_subsample','criterion':'gini','max_depth':5,'n_estimators':21,'random_state':42}",,,,0.01,0.75,0.66,0.84,0.48,0.85,0.82,0.38
Single_Model,without_Diagnosis_Delay,Random Forest,0.76,0.7,0.81,0.46,0.88,0.8,0.34,RandomForestClassifier,"{'class_weight':'balanced_subsample','criterion':'gini','max_depth':5,'n_estimators':11,'random_state':42}",,,,0.01,0.75,0.66,0.83,0.48,0.84,0.81,0.38
Single_Model,without_Diagnosis_Delay,Random Forest,0.77,0.72,0.81,0.47,0.88,0.8,0.34,RandomForestClassifier,"{'class_weight':'balanced_subsample','criterion':'gini','max_depth':5,'n_estimators':15,'random_state':42}",,,,0.01,0.75,0.66,0.83,0.47,0.84,0.81,0.37
Single_Model,without_Diagnosis_Delay,Random Forest,0.77,0.68,0.86,0.51,0.88,0.84,0.41,RandomForestClassifier,"{'class_weight':'balanced_subsample','criterion':'entropy','max_depth':7,'n_estimators':51,'random_state':42}",,,,0.01,0.73,0.56,0.9,0.49,0.84,0.85,0.45
Single_Model,without_Diagnosis_Delay,Random Forest,0.74,0.62,0.86,0.46,0.87,0.83,0.37,RandomForestClassifier,"{'class_weight':'balanced','criterion':'entropy','max_depth':7,'n_estimators':21,'random_state':42}",,,,0.01,0.72,0.56,0.89,0.48,0.84,0.85,0.43
Single_Model,without_Diagnosis_Delay,Random Forest,0.76,0.64,0.88,0.5,0.88,0.85,0.41,RandomForestClassifier,"{'class_weight':'balanced','criterion':'entropy','max_depth':7,'n_estimators':51,'random_state':42}",,,,0.01,0.72,0.55,0.9,0.49,0.84,0.85,0.44
Single_Model,without_Diagnosis_Delay,Random Forest,0.78,0.7,0.86,0.51,0.87,0.84,0.4,RandomForestClassifier,"{'class_weight':'balanced','criterion':'entropy','max_depth':7,'n_estimators':15,'random_state':42}",,,,0.01,0.72,0.56,0.88,0.48,0.83,0.84,0.42
Single_Model,without_Diagnosis_Delay,Random Forest,0.75,0.64,0.87,0.49,0.86,0.84,0.4,RandomForestClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':7,'n_estimators':51,'random_state':42}",,,,0.01,0.72,0.54,0.9,0.49,0.84,0.85,0.45
Single_Model,without_Diagnosis_Delay,Random Forest,0.74,0.62,0.85,0.46,0.86,0.82,0.36,RandomForestClassifier,"{'class_weight':'balanced','criterion':'gini','max_depth':7,'n_estimators':21,'random_state':42}",,,,0.01,0.72,0.54,0.9,0.48,0.83,0.85,0.44
Single_Model,without_Diagnosis_Delay,Random Forest,0.74,0.62,0.87,0.48,0.87,0.84,0.39,RandomForestClassifier,"{'class_weight':'balanced_subsample','criterion':'gini','max_depth':7,'n_estimators':51,'random_state':42}",,,,0.01,0.72,0.53,0.9,0.49,0.84,0.85,0.45
Single_Model,without_Diagnosis_Delay,Random Forest,0.78,0.72,0.84,0.5,0.87,0.83,0.38,RandomForestClassifier,"{'class_weight':'balanced','criterion':'entropy','max_depth':7,'n_estimators':11,'random_state':42}",,,,0.01,0.72,0.55,0.88,0.47,0.83,0.84,0.41
Single_Model,without_Diagnosis_Delay,Random Forest,0.75,0.64,0.86,0.48,0.88,0.84,0.39,RandomForestClassifier,"{'class_weight':'balanced_subsample','criterion':'entropy','max_depth':7,'n_estimators':21,'random_state':42}",,,,0.01,0.71,0.54,0.89,0.47,0.83,0.85,0.42
